"codeinsee";"codebcsi";"typedoc";"codeepci";"dateapprobation";"datelancement";"codeetat1";"codedepartement";"coderegion";"anneeenquete";"pluis";"plui";"codecollectivite";"typelastproc";"codeavertissement";"datelastproc";"datedump";"idproc";"idlastproc"
"91137";"3199";"PLU";"COM";"2014-05-15 22:00:00+00:00";"2010-04-01 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91137";"";"";"";"2021-10-06";"134918";""
"91145";"3199";"PLU";"COM";"2018-01-21 23:00:00+00:00";"2015-02-22 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91145";"";"";"";"2021-10-06";"134837";""
"91148";"3199";"PLU";"COM";"2019-12-08 23:00:00+00:00";"2015-04-12 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91148";"";"";"";"2021-10-06";"144631";""
"91156";"3199";"PLU";"COM";"2019-02-18 23:00:00+00:00";"2016-02-15 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91156";"";"";"";"2021-10-06";"148484";""
"91159";"3199";"PLU";"COM";"2017-04-11 22:00:00+00:00";"2014-07-01 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91159";"";"";"";"2021-10-06";"128646";""
"91161";"3131";"PLU";"COM";"2018-09-19 22:00:00+00:00";"2015-05-19 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91161";"";"";"";"2021-10-06";"141649";""
"91174";"3199";"PLU";"COM";"2019-10-16 22:00:00+00:00";"2015-07-08 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91174";"";"";"";"2021-10-06";"141653";""
"91175";"3199";"PLU";"COM";"2020-03-12 23:00:00+00:00";"2017-09-14 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91175";"";"";"";"2021-10-06";"158236";""
"91179";"3131";"PLU";"COM";"2009-07-22 22:00:00+00:00";"2008-03-30 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91179";"";"";"";"2021-10-06";"55625";""
"91180";"3199";"PLU";"COM";"2018-12-18 23:00:00+00:00";"2014-07-24 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91180";"";"";"";"2021-10-06";"134838";""
"91184";"3199";"PLU";"COM";"2016-07-03 22:00:00+00:00";"2011-02-08 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91184";"";"";"";"2021-10-06";"90341";""
"91191";"3199";"PLU";"COM";"2005-01-16 23:00:00+00:00";"2002-02-10 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91191";"";"";"";"2021-10-06";"55626";""
"91195";"3199";"PLU";"COM";"2018-12-20 23:00:00+00:00";"2014-11-17 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91195";"";"";"";"2021-10-06";"135798";""
"91198";"3199";"PLU";"COM";"2005-11-24 23:00:00+00:00";"1992-04-16 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91198";"";"";"";"2021-10-06";"55628";""
"91200";"3199";"PLU";"COM";"2020-01-30 23:00:00+00:00";"2014-06-12 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91200";"";"";"";"2021-10-06";"141654";""
"91201";"3131";"PLU";"COM";"2019-06-25 22:00:00+00:00";"2015-11-23 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91201";"";"";"";"2021-10-06";"146213";""
"91207";"3199";"PLU";"COM";"2009-12-15 23:00:00+00:00";"2001-06-28 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91207";"";"";"";"2021-10-06";"55629";""
"91215";"3131";"PLU";"COM";"2008-04-13 22:00:00+00:00";"2004-12-13 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91215";"";"";"";"2021-10-06";"4041";""
"91216";"3131";"PLU";"COM";"2019-06-19 22:00:00+00:00";"2014-11-26 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91216";"";"";"";"2021-10-06";"134807";""
"91223";"3199";"PLU";"COM";"2020-01-28 23:00:00+00:00";"2014-09-23 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91223";"";"";"";"2021-10-06";"134808";""
"91225";"3199";"PLU";"COM";"2012-09-25 22:00:00+00:00";"2009-04-28 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91225";"";"";"";"2021-10-06";"64710";""
"91226";"3199";"PLU";"COM";"2012-03-29 22:00:00+00:00";"2008-11-27 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91226";"";"";"";"2021-10-06";"64711";""
"91228";"3199";"PLU";"COM";"2019-09-25 22:00:00+00:00";"2014-12-17 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91228";"";"";"";"2021-10-06";"141651";""
"91232";"3199";"PLU";"COM";"2015-09-17 22:00:00+00:00";"2010-02-03 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91232";"";"";"";"2021-10-06";"64712";""
"91235";"3131";"PLU";"COM";"2013-02-24 23:00:00+00:00";"2009-06-21 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91235";"";"";"";"2021-10-06";"46036";""
"91240";"3199";"PLU";"COM";"2020-03-05 23:00:00+00:00";"2015-11-19 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91240";"";"";"";"2021-10-06";"144636";""
"91243";"3131";"PLU";"COM";"2012-06-04 22:00:00+00:00";"2010-04-12 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91243";"";"";"";"2021-10-06";"63605";""
"91244";"3199";"PLU";"COM";"2020-02-05 23:00:00+00:00";"2016-12-14 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91244";"";"";"";"2021-10-06";"154048";""
"91247";"3199";"PLU";"COM";"2020-01-27 23:00:00+00:00";"2014-12-08 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91247";"";"";"";"2021-10-06";"144704";""
"91248";"1199";"CC";"COM";"2018-10-29 23:00:00+00:00";"2015-10-29 23:00:00+00:00";"19";"91";"11";"2021";"NON";"NON";"91248";"";"";"";"2021-10-06";"144725";""
"91249";"3199";"PLU";"COM";"2018-12-19 23:00:00+00:00";"2015-04-15 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91249";"";"";"";"2021-10-06";"146089";""
"91272";"3199";"PLU";"COM";"2016-12-12 23:00:00+00:00";"2014-12-15 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91272";"";"";"";"2021-10-06";"135250";""
"91274";"3199";"PLU";"COM";"2019-10-07 22:00:00+00:00";"2014-12-02 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91274";"";"";"";"2021-10-06";"134809";""
"91275";"3199";"PLU";"COM";"2016-12-11 23:00:00+00:00";"2011-09-18 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91275";"";"";"";"2021-10-06";"90348";""
"91284";"3131";"PLU";"COM";"2008-02-07 23:00:00+00:00";"2006-02-02 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91284";"";"";"";"2021-10-06";"55638";""
"91286";"3199";"PLU";"COM";"2011-07-04 22:00:00+00:00";"2003-01-27 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91286";"";"";"";"2021-10-06";"3981";""
"91292";"3199";"PLU";"COM";"2016-02-03 23:00:00+00:00";"2011-03-29 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91292";"";"";"";"2021-10-06";"90349";""
"91294";"3199";"PLU";"COM";"2018-03-16 23:00:00+00:00";"2013-02-20 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91294";"";"";"";"2021-10-06";"128630";""
"91312";"3199";"PLU";"COM";"2017-09-12 22:00:00+00:00";"2014-07-01 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91312";"";"";"";"2021-10-06";"146079";""
"91315";"3131";"PLU";"COM";"2006-12-06 23:00:00+00:00";"2002-09-05 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91315";"";"";"";"2021-10-06";"55639";""
"91318";"3199";"PLU";"COM";"2012-10-25 22:00:00+00:00";"2008-09-25 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91318";"";"";"";"2021-10-06";"64716";""
"91319";"3131";"PLU";"COM";"2005-04-07 22:00:00+00:00";"2002-03-06 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91319";"";"";"";"2021-10-06";"55640";""
"91326";"3432";"PLU";"EPT";"2016-09-25 22:00:00+00:00";"2014-12-01 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91326";"";"";"";"2021-10-06";"134810";""
"91330";"3131";"PLU";"COM";"2017-05-10 22:00:00+00:00";"2014-06-26 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91330";"";"";"";"2021-10-06";"134811";""
"91332";"3199";"PLU";"COM";"2019-12-04 23:00:00+00:00";"2015-05-31 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91332";"";"";"";"2021-10-06";"146262";""
"91333";"3131";"PLU";"COM";"2005-05-24 22:00:00+00:00";"2002-12-17 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91333";"";"";"";"2021-10-06";"55643";""
"91338";"3199";"PLU";"COM";"2017-09-27 22:00:00+00:00";"2014-12-17 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91338";"";"";"";"2021-10-06";"135248";""
"91339";"3131";"PLU";"COM";"2017-02-19 23:00:00+00:00";"2010-09-27 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91339";"";"";"";"2021-10-06";"64298";""
"91340";"3131";"PLU";"COM";"2013-12-16 23:00:00+00:00";"2009-09-28 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91340";"";"";"";"2021-10-06";"63614";""
"91345";"3131";"PLU";"COM";"2013-12-08 23:00:00+00:00";"2010-10-10 22:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91345";"";"";"";"2021-10-06";"64299";""
"91347";"3199";"PLU";"COM";"2018-10-16 22:00:00+00:00";"2014-04-09 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91347";"";"";"";"2021-10-06";"134828";""
"91359";"3131";"PLU";"COM";"2013-06-26 22:00:00+00:00";"2009-03-08 23:00:00+00:00";"33";"91";"11";"2021";"NON";"NON";"91359";"";"";"";"2021-10-06";"62438";""
"91363";"3199";"PLU";"COM";"2018-07-04 22:00:00+00:00";"2016-09-28 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91363";"";"";"";"2021-10-06";"151290";""
"91374";"1199";"CC";"COM";"2018-08-05 22:00:00+00:00";"2015-11-18 23:00:00+00:00";"19";"91";"11";"2021";"NON";"NON";"91374";"";"";"";"2021-10-06";"144312";""
"91376";"3199";"PLU";"COM";"2013-07-03 22:00:00+00:00";"2009-06-22 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91376";"";"";"";"2021-10-06";"62439";""
"91377";"3199";"PLU";"COM";"2016-09-14 22:00:00+00:00";"2014-06-25 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91377";"";"";"";"2021-10-06";"134813";""
"91378";"3199";"PLU";"COM";"2014-06-11 22:00:00+00:00";"2010-06-09 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91378";"";"";"";"2021-10-06";"64301";""
"91386";"3199";"PLU";"COM";"2017-07-06 22:00:00+00:00";"2015-06-18 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91386";"";"";"";"2021-10-06";"144733";""
"91390";"1131";"CC";"COM";"2014-12-14 23:00:00+00:00";"2011-02-27 23:00:00+00:00";"13";"91";"11";"2021";"NON";"NON";"91390";"";"";"";"2021-10-06";"90344";""
"91393";"3199";"PLU";"COM";"2016-03-08 23:00:00+00:00";"2013-01-10 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91393";"";"";"";"2021-10-06";"115295";""
"91399";"3199";"PLU";"COM";"2019-12-11 23:00:00+00:00";"2015-11-22 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91399";"";"";"";"2021-10-06";"144741";""
"91405";"3199";"PLU";"COM";"2019-12-17 23:00:00+00:00";"2010-03-02 23:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91405";"";"";"";"2021-10-06";"64302";""
"91408";"3199";"PLU";"COM";"2017-06-05 22:00:00+00:00";"2014-06-04 22:00:00+00:00";"39";"91";"11";"2021";"NON";"NON";"91408";"";"";"";"2021-10-06";"134842";""
